time(msec), lat(ns), read0_write1, offset
216875, 114024, 0, 0
217000, 63396, 1, 0
217125, 111021, 0, 0
217625, 124152, 0, 0
217875, 119709, 0, 0
218000, 82815, 1, 0
218125, 127180, 0, 0
218625, 128828, 0, 0
219000, 75911, 1, 0
219125, 119376, 0, 0
219625, 103072, 0, 0
219875, 138119, 0, 0
220000, 56484, 1, 0
220250, 56742, 1, 0
220375, 132612, 0, 0
220375, 48584, 1, 0
220875, 125385, 0, 0
220875, 44581, 1, 0
221125, 103907, 0, 0
221250, 124541, 0, 0
221375, 62120, 1, 0
221500, 122993, 0, 0
221625, 57725, 1, 0
221750, 126040, 0, 0
221875, 48717, 1, 0
222000, 56159, 1, 0
222250, 55704, 1, 0
222250, 86064, 0, 0
222500, 110144, 0, 0
222500, 45417, 1, 0
222625, 108801, 0, 0
222750, 122613, 0, 0
223000, 107806, 0, 0
223000, 39382, 1, 0
223125, 122477, 0, 0
223250, 57780, 1, 0
223375, 166871, 0, 0
223375, 39974, 1, 0
223875, 62671, 1, 0
224375, 209975, 0, 0
224875, 69965, 1, 0
225125, 62196, 1, 0
225375, 210323, 0, 0
225375, 33483, 1, 0
225500, 69628, 1, 0
225750, 52441, 1, 0
225875, 56941, 1, 0
226125, 60659, 1, 0
226375, 206535, 0, 0
226625, 60056, 1, 0
227125, 55687, 1, 0
227250, 66305, 1, 0
227375, 135696, 0, 0
227625, 114442, 0, 0
227875, 79974, 0, 0
228250, 42127, 1, 0
228375, 32672, 1, 0
228625, 56073, 1, 0
228750, 69827, 1, 0
228875, 111225, 0, 0
229125, 105841, 0, 0
229250, 57240, 1, 0
229250, 151639, 0, 0
229500, 60140, 1, 0
